response,region,race,age,gender,count
s,1,w,1,m,288
u,1,w,1,m,177
s,1,w,1,f,60
u,1,w,1,f,57
s,1,w,2,m,224
u,1,w,2,m,166
s,1,w,2,f,35
u,1,w,2,f,19
s,1,w,3,m,337
u,1,w,3,m,172
s,1,w,3,f,70
u,1,w,3,f,30
s,1,o,1,m,38
u,1,o,1,m,33
s,1,o,1,f,19
u,1,o,1,f,35
s,1,o,2,m,32
u,1,o,2,m,11
s,1,o,2,f,22
u,1,o,2,f,20
s,1,o,3,m,21
u,1,o,3,m,8
s,1,o,3,f,15
u,1,o,3,f,10
s,2,w,1,m,90
u,2,w,1,m,45
s,2,w,1,f,19
u,2,w,1,f,12
s,2,w,2,m,96
u,2,w,2,m,42
s,2,w,2,f,12
u,2,w,2,f,5
s,2,w,3,m,124
u,2,w,3,m,39
s,2,w,3,f,17
u,2,w,3,f,2
s,2,o,1,m,18
u,2,o,1,m,6
s,2,o,1,f,13
u,2,o,1,f,7
s,2,o,2,m,7
u,2,o,2,m,2
s,2,o,2,f,0
u,2,o,2,f,3
s,2,o,3,m,9
u,2,o,3,m,2
s,2,o,3,f,1
u,2,o,3,f,1
s,3,w,1,m,226
u,3,w,1,m,128
s,3,w,1,f,88
u,3,w,1,f,57
s,3,w,2,m,189
u,3,w,2,m,117
s,3,w,2,f,44
u,3,w,2,f,34
s,3,w,3,m,156
u,3,w,3,m,73
s,3,w,3,f,70
u,3,w,3,f,25
s,3,o,1,m,45
u,3,o,1,m,31
s,3,o,1,f,47
u,3,o,1,f,35
s,3,o,2,m,18
u,3,o,2,m,3
s,3,o,2,f,13
u,3,o,2,f,7
s,3,o,3,m,11
u,3,o,3,m,2
s,3,o,3,f,9
u,3,o,3,f,2
s,4,w,1,m,285
u,4,w,1,m,179
s,4,w,1,f,110
u,4,w,1,f,93
s,4,w,2,m,225
u,4,w,2,m,141
s,4,w,2,f,53
u,4,w,2,f,24
s,4,w,3,m,324
u,4,w,3,m,140
s,4,w,3,f,60
u,4,w,3,f,47
s,4,o,1,m,40
u,4,o,1,m,25
s,4,o,1,f,66
u,4,o,1,f,56
s,4,o,2,m,19
u,4,o,2,m,11
s,4,o,2,f,25
u,4,o,2,f,19
s,4,o,3,m,22
u,4,o,3,m,2
s,4,o,3,f,11
u,4,o,3,f,12
s,5,w,1,m,270
u,5,w,1,m,180
s,5,w,1,f,176
u,5,w,1,f,151
s,5,w,2,m,215
u,5,w,2,m,108
s,5,w,2,f,80
u,5,w,2,f,40
s,5,w,3,m,269
u,5,w,3,m,136
s,5,w,3,f,110
u,5,w,3,f,40
s,5,o,1,m,36
u,5,o,1,m,20
s,5,o,1,f,25
u,5,o,1,f,16
s,5,o,2,m,9
u,5,o,2,m,7
s,5,o,2,f,11
u,5,o,2,f,5
s,5,o,3,m,16
u,5,o,3,m,3
s,5,o,3,f,4
u,5,o,3,f,5
s,6,w,1,m,252
u,6,w,1,m,126
s,6,w,1,f,97
u,6,w,1,f,61
s,6,w,2,m,162
u,6,w,2,m,72
s,6,w,2,f,47
u,6,w,2,f,27
s,6,w,3,m,199
u,6,w,3,m,93
s,6,w,3,f,62
u,6,w,3,f,24
s,6,o,1,m,69
u,6,o,1,m,27
s,6,o,1,f,45
u,6,o,1,f,36
s,6,o,2,m,14
u,6,o,2,m,7
s,6,o,2,f,8
u,6,o,2,f,4
s,6,o,3,m,14
u,6,o,3,m,5
s,6,o,3,f,2
u,6,o,3,f,0
s,7,w,1,m,119
u,7,w,1,m,58
s,7,w,1,f,62
u,7,w,1,f,33
s,7,w,2,m,66
u,7,w,2,m,20
s,7,w,2,f,20
u,7,w,2,f,10
s,7,w,3,m,67
u,7,w,3,m,21
s,7,w,3,f,25
u,7,w,3,f,10
s,7,o,1,m,45
u,7,o,1,m,16
s,7,o,1,f,22
u,7,o,1,f,15
s,7,o,2,m,15
u,7,o,2,m,10
s,7,o,2,f,10
u,7,o,2,f,8
s,7,o,3,m,8
u,7,o,3,m,6
s,7,o,3,f,6
u,7,o,3,f,2
